"|","|__content__sentence1","|__content__sentence2"
"news7","真人真事!竹筍擦中國進口的農藥 (年年冬毒精) 地主罹癌後，道德真心告白","請大家不管任何筍.都不要吃了! 大都淪陷吃年年冬毒精的竹筍! 看了你還敢吃嗎？為了你的健康一定要看。不要再吃竹筍了!"
"news8","電子秤下放保麗龍箱，見到就走，讓更多人知道吧！保麗龍箱墊出“黑心秤”","昨天，家住某社區的王小姐反映，她發現了電子秤下面的秘密——如果把電子秤放在保麗龍箱或者紙板上面，稱出來的重量往往會加重。昨天，小編走訪了多家肉菜市場，發現在電子秤下墊保麗龍箱的不少，短斤缺兩也在意料之中。拿走保麗龍箱稱？不做你生意。我們在一攤買了400克的馬鈴薯，問能不能把秤下面的保麗龍拿走再稱，該檔主狠狠地瞪我們一眼，拉長臉，很生氣地嚷生意不做了。我們繞市場走了一圈，發現在電子秤下墊保麗龍的還真不少。我們買了900克的雪梨，順便掏出照相機想偷拍，該店老闆見到相機對準電子秤，表情緊張。隨後，我們來到新菜市的公秤複稱，秤上顯示：800克。整整少了100克！更讓人吃驚的是，超市的電子秤下也有墊著紙箱的，紙箱與秤之間隔著一塊木板，記者詢問售貨人員為何如此安置電子秤，售貨人員笑而不答。揭秘原理分析針對上述現象，我們諮詢了熟識的一位物理老師。他告訴我們，秤下墊了保麗龍、紙板，會引致變形緩衝，產生向上的加速度，導致託盤對物體的支援力大於物體的重力，出現超重現象，所以秤的指標讀數偏大。而如果墊高秤的後方，這已經違反了彈簧秤、電子秤的使用方法，稱出來的重量肯定不準確。趕快讓更多人知道吧！"
"news11","這是卸任鄉長的退職金！ 政務官滿2年及民選立委、縣市鄉長滿2任（8年），退職金仍有18%，民進黨不敢說終結18%！ 任政務官二年，市縣鄉鎮市長二屆，竟然保有18%優存最低本金，僅象徵性將本金分出百分之六額度，該小部分優息遞減為12%,10%,8%,至6%為止","但將近本金的百分之九十四絕大多數仍維持18%優息。 如此混淆視聽，虛晃一招說已完成年改，實在太會拗會騙啦。"
"news13","喜歡喝啤酒的人，看過來，這裡有專屬你們的好消息：科學家在啤酒成份裡， 發現了七種可以促進健康的功能","現在你可以問心無愧的舉起啤酒杯了，喔耶！1. 增加骨頭的密度許多研究證明啤酒可以增加人體內矽元素的含量，這將有助於肌肉和骨頭兩者之間的連接，並增加骨頭密度。 特別是黑啤酒，其具有非常高的啤酒花（矽）的含量。 所以，適量飲用深色的啤酒，有助於預防骨質疏鬆症。2. 提高健康膽固醇水平科學家發現，喝啤酒時，人體會增加健康的HDL（高密度脂蛋白）膽固醇比例。 每天兩杯啤酒對於膽固醇平衡有正面的影響。3. 降低心血管疾病風險根據哈佛大學100多項研究發現，適度飲酒能減少約25％到40％急性心肌梗塞的發病率。 所以，如果想對你的心臟好一點，除了一頓健康的晚餐外，當然來一杯啤酒也不錯。4. 降低糖尿病的風險研究亦顯示，適度飲酒和降低2型糖尿病是有關聯的。 美國研究人員認為，每天喝300-1200 ml啤酒的人，得到糖尿病的風險較低。5. 預防腎結石腎結石可是中老年人的重大敵人。 幸運的是，一項研究結果顯示，每天喝一瓶啤酒得到腎結石的機率竟下降將近40％。6. 預防癌症潛在因子德國的科學家發現，啤酒花中含有的黃腐醇可以防止攝入過多的睪丸素，這是攝護腺癌的主要危險因素 。科學家們仍在探索黃腐醇，將它歸類在癌症研究裡。7. 預防痴呆聽起來好像很奇怪，用酒精對抗癡呆！任何曾經因為喝醉酒而意識不清的人，聽到一定不敢相信。 但上述的黃腐醇實際上真的有防止氧化壓力（Oxidative stress）的功效。這是導致老年癡呆症的原因之一。 因此，啤酒（當然要適度飲用）實際上可以保持大腦該有的年齡。現在，你已經知道適量飲用啤酒，不但舒壓開心，健康上竟然也是站得住腳的！ 所以，一起拿起啤酒杯，為這些新的研究結果乾杯吧！"
"news18","麻煩—請轉發請轉發：北京陸軍總醫院陳惠仁教授強調，如每個收到這份簡訊的人，能夠轉發十份給其他人，肯定至少有一條生命將會被挽救回來... 我已經做了我的部分了，希望你也能幫忙做了你的部分。感謝！ 熱的苦瓜水可以救你一輩子再忙也要看，然後告訴別人，把愛傳出去！ 熱苦瓜～只殺癌細胞！ 切２～３薄苦瓜片放在杯子裡，      加入熱水，它會變成「鹼性水」，每天飲用，對任何人都有益","熱 苦瓜水能釋放一種抗癌物質，這是在醫藥領域有效治療癌症的最新進展 。   熱苦瓜汁對囊腫及腫瘤產生影響。 被證明能夠補救所有類型的癌症。用苦瓜萃取物這種類型的治療，只會破壞惡性腫瘤細胞，它不影響健康的細胞。 另外苦瓜汁內的胺基酸和苦瓜多酚， 能調整高血壓，有效預防深靜脈栓塞，調整血液迴圈，減低血液凝塊。 看完，告訴別人，家人，朋友，把愛傳出去！要照顧好自已的健康。🙏🏻💖"
"news21","高鐵優惠票擴及50～65歲！（中央社記者汪淑芬台北30日電）台灣高鐵今天宣布調高票價及擴大優惠方案。有一項新增的優惠對象是針對50歲至64歲熟齡客，票價為標準車廂對號座75折。台灣高鐵說，新增的熟齡優惠，只要乘客是50歲至64歲，憑身分證件至高鐵車站售票窗口，購買週一至週四上午9時至11時，及晚上7時以後的列車，就可享75折優惠。台灣高鐵發言人賈先德說，現在65歲以上旅客已可享半價的愛心票，但台灣50歲至64歲已退休的人數估計有100萬人。～請多加利用優惠時段搭乘(~)給各位熟齡的同學或這個版本高鐵優惠票擴及50～65歲！（中央社記者汪淑芬台北30日電）台灣高鐵今天宣布調高票價及擴大優惠方案。有一項新增的優惠對象是針對50歲至64歲熟齡客，票價為標準車廂對號座75折","台灣高鐵說，新增的熟齡優惠，只要乘客是50歲至64歲，憑身分證件至高鐵車站售票窗口，購買週一至週四上午9時至11時，及晚上7時以後的列車，就可享75折優惠。 台灣高鐵發言人賈先德說，現在65歲以上旅客已可享半價的愛心票，但台灣50歲至64歲已退休的人數估計有100萬人。～請多加利用優惠時段搭乘～ "
"news24","安全警告：警察局警告說，有一群人逐家逐戶拍門， 假裝是「Deparment of Home Affairs] [內政部］官員。他們持有[內政部］信箋的文件，並聲稱要確認每個人都有一個有效的身份證件，為即將舉行的選舉預備。他們其實是入屋打劫","注意，政府沒有沒有這個行動。 請轉發到您的鄰居，朋友群聊。這班人無處不在，看起來好大方得體。請小心。"
"news25","趕快去投票！如果你不參與投票，中華民國國號和國旗就會消失在身份證上了！台獨設計的版本目前排名第一名喔…請支持兼有中華民國國號、國旗的圖樣！每人每天有3票,請集中投給這個提案(要用FB登錄）投票日從4月23至5月22日，請用你的行動，保住國旗、國號～政府主張台獨，對人民影響有多大，相信這兩年大家都有感覺；現在政府又打算僅用幾萬人的投票，正式用在2300萬人的身份證上，讓全世界誤認為是台灣2300萬人的共識支持台獨！用身份證將中華民國改成台灣，縱然政黨輪替，未來數十年也不可能改版，等於烙印在身份上。更糟糕的是媒體沉默，也不說明，打算默默通過。而且採一人3票，可連續投，等於一人有90票。一般百姓誰會注意到可投票","又有多少人會連續投票？所以只要動員投票部隊1萬人，就有90萬票，未來正式通過，就可以說有90萬的民意支持贊成！期待每人每天都能投3票，不論結果如何，至少我們做出選擇，也盡力讓我們自己的未來及下一代，擁有更好的經濟環境！現在有機會，投票表達自己的選擇，一起投票去 !他們很聰明，把很多有國旗的放上去，分散票源，他們就可低票當選，大家應該先集中在有國旗的設計中選一張，然後集體去投這一張。"
"news27","您住在臺中市嗎","您是機車族嗎？壞消息來了……"
"news28","這種雞蛋不要買, 更不要吃！趕緊告訴你的家人！最近，看到電視上的一個新聞，讓我十分吃驚。說一個寶寶，吃完雞蛋後，抽搐併產生了昏迷。後來經過救治，才轉危為安。醫生跟家屬經過溝通，懷疑寶寶是吃了長斑的雞蛋才出現這樣的情況。因為這種蛋殼上長斑點的雞蛋很可能是感染了細菌，所以看到這種長斑的雞蛋，大家不要買更不要吃，要記得告訴家裡人。那麼又是什麼原因造成了雞蛋殼內長斑呢"," 專家表示，因為雞蛋的外殼上有許多氣孔，細菌、黴菌會通過這些氣孔進入雞蛋內部。蛋殼內壁出現黑斑，但蛋黃蛋清並沒有壞掉，也是因為黴菌通過氣孔進入殼內，破壞了殼內的殼膜，黴菌滋長聚集成黑斑。有的雞蛋遭到雨淋或受潮，會破壞蛋殼表面的保護膜，也會使細菌侵入蛋內面發霉變質。這樣的雞蛋儘管表面上並無明顯的腐壞癥狀，但其實蛋的品質有所下降了，不建議食用。 雞蛋選擇小竅門 1、選雞蛋的時候要挑選蛋殼表面斑點少的雞蛋。 2、站在亮光的地方，用光照雞蛋，手半掩住雞蛋觀察。好蛋呈微紅色、半透明、蛋黃輪廓清晰，而壞蛋呈灰暗色，空室較大，有的雞蛋有污斑，這是陳舊或變質的表現。 3、將雞蛋拿起輕輕搖晃，放在耳朵旁邊注意聽，會響的說明是不新鮮的，而沒有聲音則證明是新鮮的雞蛋。"
